"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CH1",730,538,291,257,163,37,240,113,7,48,134,0,64,84,47,168,0,11,0,0,189,234,0
"CH1",12,26,9,98,17,3,44,0,1,2,0,0,6,0,14,15,0,6,0,1,19,21,0
"CH1",363,110,111,293,505,55,345,32,3,5,1,2,49,22,132,81,3,31,0,0,229,669,1
"CH1",4,9,12,83,17,5,31,2,0,0,0,0,5,0,14,5,0,2,0,0,38,29,0
"CH1",27,39,32,57,36,9,51,0,2,0,0,0,5,5,24,9,0,6,0,0,35,122,0
"CH1",110,86,76,139,173,23,171,28,1,1,0,0,24,10,78,39,3,20,0,0,113,287,0
"CH1",365,124,48,107,156,14,154,162,78,2,0,0,17,2,25,187,1,26,1,0,102,350,0
"CH1",1006,489,153,214,325,36,252,253,396,24,11,0,62,73,57,142,2,33,1,1,251,483,0
"CH1",786,928,213,314,483,51,247,44,8,70,623,390,44,5,83,208,5,34,0,3,87,441,1
"CH1",534,1438,151,280,202,17,176,49,44,72,542,283,20,5,32,477,4,27,0,1,108,347,0
"CH1",78,31,44,70,80,16,106,6,2,0,0,0,19,0,52,20,1,16,1,0,170,107,0
"CH1",635,709,146,178,320,187,267,365,16,20,0,206,84,13,654,101,1,56,0,0,51,553,90
"CH1",41,80,137,413,32,5,63,7,2,335,1865,1479,31,11,28,9,0,16,0,0,111,75,0
"CH1",83,44,36,79,119,10,120,12,1,1,0,0,15,0,47,24,1,15,0,0,258,245,0
"CH1",13,29,21,128,63,9,48,4,1,0,0,0,5,0,13,13,0,7,0,0,37,59,0
"CH1",26,22,17,103,32,11,43,1,2,0,0,0,20,0,18,13,0,8,0,0,33,54,0
"CH1",175,84,103,172,86,30,210,22,4,140,1244,778,79,866,103,33,1,31,1,0,359,336,0
"CH1",780,832,222,285,229,130,344,318,131,22,2,0,104,455,113,182,1,55,6,1,258,604,0
"CH1",71,79,72,640,143,21,191,13,1,7,0,0,52,0,57,86,3,27,0,1,160,113,0
"CH1",55,28,17,62,69,2,92,4,1,1,0,0,17,5,20,25,0,2,0,0,61,244,0
"CH1",108,22,33,40,44,9,67,2,0,0,0,0,9,1,163,36,0,1,0,0,155,165,0
"CH1",82,20,16,91,24,14,62,0,0,0,0,0,8,0,37,20,0,7,0,0,235,49,0
"CH1",378,424,134,156,269,29,292,106,4,9,0,0,25,2,53,243,1,27,0,0,153,436,0
"CH1",31,44,18,45,170,13,121,3,0,0,0,0,11,0,31,12,0,3,0,0,22,88,0
"CH1",961,571,143,136,322,37,295,42,6,153,934,523,82,77,42,267,2,50,0,0,129,379,1
