"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CHU",8237,10204,18032,6557,4926,1283,3993,3435,2926,3750,7977,4227,2513,34451,2111,4141,177,762,146,97,2023,13846,3223
"CHU",6660,9932,3875,5522,3767,1164,4164,2649,3039,1469,5059,2326,2548,8249,2198,1900,67,792,1344,179,2295,19843,2422
"CHU",5922,5312,5017,4692,3632,958,3230,2718,2006,1623,4353,3188,2082,1212,2145,2215,87,540,1128,67,1276,8155,3093
"CHU",10023,8905,18643,6962,6837,1051,6116,3744,2601,2319,8113,3979,9741,8594,3352,4809,385,862,697,76,1333,12630,2908
"CHU",7209,6086,3065,3696,2061,819,3210,1895,1737,1338,7995,4173,1591,11524,2010,2332,103,718,190,54,1115,8926,1395
"CHU",8240,7628,3803,5689,3926,1456,4234,2342,1934,1790,7183,4320,4297,4795,4278,2347,42,640,48,67,2762,8430,1389
"CHU",5932,9216,24543,4537,2863,1419,3462,2114,1670,1219,2762,1894,2725,6139,2736,2313,103,492,86,82,2264,8675,1898
"CHU",11139,9186,18328,6685,6653,1064,4887,4001,4362,525,859,57,4607,8759,7094,3280,205,977,974,155,1262,22594,3121
"CHU",7792,5267,4089,5023,5610,673,3783,4076,1517,1824,7256,3668,1746,26355,2555,1867,286,556,277,28,2219,11941,3524
"CHU",12305,14695,18841,14128,8483,1659,8699,6911,4290,3313,9683,5177,3508,9605,5575,5146,1099,1249,13,186,2349,25710,3228
"CHU",6469,5763,13504,5802,4211,1655,3527,2520,3052,3574,5054,2717,4048,7359,1770,1836,43,668,165,70,2475,11113,4089
"CHU",12011,11834,5747,8558,5073,1634,6569,3555,1821,2811,6726,3780,8653,5089,4514,3196,113,1135,3952,93,2246,26916,1016
"CHU",25027,21526,36578,17552,10188,1845,14498,8798,6323,5887,18358,11031,9908,43945,13423,6851,456,3526,4729,185,7058,39026,4881
"CHU",81281,69422,88053,55705,41591,8333,48539,23636,17483,22833,64457,37587,36952,203043,45410,22792,935,10103,26261,727,24289,190350,16447
"CHU",10552,9633,6350,8040,6756,1107,6188,2989,2592,1825,6024,2978,2729,5393,4746,3125,403,939,3416,110,2957,13355,2082
"CHU",6118,8159,19731,4387,4440,1451,3089,2128,3304,1775,4882,2463,4079,24520,2003,1937,116,475,190,97,702,15131,1536
"CHU",6078,5816,18978,5072,5202,1248,3319,1855,2335,969,4945,2500,2574,42445,2204,2916,77,490,746,82,3614,14543,1693
"CHU",6480,6458,16998,4312,3082,829,2574,2186,2482,2009,3429,2340,3329,32581,2322,1421,53,722,52,62,1169,14701,2418
"CHU",2008,2377,2481,1881,1126,372,1637,723,961,1200,5552,2073,1004,928,1373,894,399,531,1659,26,396,6851,452
"CHU",3298,5035,1838,2653,1852,653,1497,1010,638,1187,4197,1909,1509,22516,1142,1231,98,589,2676,40,492,2695,1037
"CLC",519,50,63,100,241,461,261,414,5,759,0,0,907,39302,486,258,0,104,4,0,0,1649,2
"CLC",3564,164,302,150,463,843,543,57,7,1046,0,0,6065,20547,97,290,0,789,24,0,12,3271,2
"CLC",792,105,132,93,269,495,345,269,2,1095,0,0,1875,51543,442,137,0,100,1,0,11,1633,1
"CLC",356,134,108,121,351,58,157,87,4,1165,0,0,2399,29368,192,113,0,58,1,0,3,1618,1
"CLC",441,126,55,77,179,329,125,188,10,1357,0,0,1575,47076,243,444,0,60,0,0,3,743,0
"CLC",648,297,115,95,186,142,371,122,1,1161,0,0,1975,14236,78,173,0,63,1,0,6,722,9
"CLC",1252,32,60,33,224,149,121,32,0,1704,0,0,2162,50030,70,171,0,69,1,0,0,1721,0
"CLC",307,52,17,68,165,320,91,18,1,678,0,0,239,41244,15,56,0,20,0,0,6,482,0
"CLC",98,48,23,44,8,3,80,5,1,1,0,0,530,48583,8,3,0,81,2,0,1,1731,0
"CLC",292,35,43,74,365,747,205,10,0,1162,0,0,1313,50811,289,59,0,43,0,0,3,680,0
"CLC",230,29,22,27,216,385,81,2,0,717,2,0,892,51840,12,129,0,13,0,0,3,589,1
"CLC",272,72,51,84,116,156,204,19,1,782,1,0,793,26332,826,59,1,37,0,0,4,410,0
"CLC",496,67,160,76,155,236,223,301,6,1115,0,0,2305,31370,60,283,0,101,0,0,5,1358,1
"CLC",973,192,131,99,253,722,324,597,4,1476,0,0,912,61919,332,261,0,46,0,0,16,868,0
"CLC",194,77,187,69,279,299,160,16,6,1008,0,0,1293,36001,474,84,1,42,0,0,1,1349,1
"CLC",290,46,42,92,177,495,179,35,2,515,0,0,813,53987,661,56,0,77,0,0,3,623,5
"CLC",1033,189,184,179,304,700,381,359,8,1215,0,0,2312,53458,242,445,0,183,1,0,16,1761,2
"CLC",765,246,136,232,161,1045,268,275,586,2869,0,0,2236,70404,85,304,0,115,3,0,7,1672,0
"CLC",376,126,100,106,272,323,344,337,8,1432,0,0,3808,45778,195,182,0,305,6,0,6,5512,0
"CLC",2139,375,414,281,1061,723,599,1581,45,3018,2,0,6416,51015,494,1002,0,187,4,0,10,3123,25
"HL",0,7,4,4,2,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,2,4,0
"HL",10,18,5,28,14,6,9,1,0,5,0,0,2,0,6,1,0,0,0,0,18,22,0
"HL",13,15,0,38,25,4,28,1,0,1,0,0,3,0,8,4,0,1,0,0,37,57,0
"HL",3,5,6,15,10,3,6,3,0,0,0,0,4,0,4,1,0,4,0,0,3,27,0
"HL",6,11,11,20,6,2,17,5,0,0,0,0,3,0,6,1,0,1,0,0,15,15,0
"HL",1,2,1,5,5,0,6,1,0,0,0,0,0,0,3,3,0,1,0,0,5,6,0
"HL",41,44,11,39,40,1,32,31,17,1,1,0,0,0,10,263,4,7,0,0,25,135,0
"HL",4,3,1,13,0,1,14,0,0,1,0,0,0,0,1,3,0,0,0,0,2,7,0
"HL",4,1,2,13,2,2,7,0,0,0,0,0,5,0,4,0,0,0,0,0,28,11,0
"HL",2,14,2,6,1,0,13,0,1,0,0,0,0,0,4,4,0,0,0,0,5,60,0
"HL",3,5,2,21,2,0,13,0,0,0,0,0,2,0,0,1,0,1,0,0,3,11,0
"HL",0,8,2,3,3,2,13,0,0,1,0,0,0,8,5,2,0,0,0,0,5,3,0
"HL",3,13,1,18,7,3,15,1,3,2,0,0,1,0,3,2,0,1,0,0,18,23,0
"HL",18,11,8,14,12,3,42,3,0,0,0,0,2,0,10,4,0,1,0,0,13,36,0
"HL",35,31,18,45,25,1,56,3,0,0,0,0,5,1,15,9,1,2,0,0,11,53,0
"HL",9,5,2,22,3,1,9,1,1,0,0,0,3,4,7,5,0,0,0,0,24,11,0
"HL",11,23,3,40,12,10,21,1,0,0,0,0,0,0,3,4,1,3,0,0,10,36,0
"HL",17,26,5,63,33,11,66,1,1,3,0,0,3,0,6,5,0,0,0,0,7,30,0
"HL",5,18,9,12,8,6,23,1,1,0,0,0,0,0,2,5,0,1,0,0,5,31,0
"HL",14,28,19,35,25,12,84,4,1,0,0,0,7,1,10,17,1,3,0,0,13,115,0
"HL",3,1,4,16,6,0,9,0,0,0,0,0,2,0,4,6,0,0,0,0,2,66,0
"HL",18,34,25,40,48,6,39,6,0,2,0,1,3,0,19,10,1,9,0,0,40,96,0
"HL",11,25,17,48,18,8,30,1,0,1,0,0,6,0,6,3,0,1,0,0,9,50,0
"HL",55,23,15,48,36,5,31,14,0,1,1,1,4,10,11,27,0,6,0,0,26,98,0
"HL",12,17,25,25,45,13,39,2,0,0,0,0,7,2,8,10,1,3,0,0,31,46,0
"HL",77,141,22,173,76,22,70,11,1,14,0,0,25,0,37,19,3,4,0,0,74,133,0
"HL",30,66,17,81,21,7,56,6,4,1,0,0,9,2,24,19,1,7,0,0,27,55,0
"HL",6,8,0,10,13,2,11,0,0,0,0,0,5,0,14,11,0,0,0,0,7,89,0
"HL",12,16,9,94,12,1,20,5,1,0,0,0,2,0,10,6,0,2,0,0,12,161,0
"HL",12,8,9,23,28,0,17,8,0,1,0,0,0,0,14,10,0,0,0,0,22,63,0
"HL",3,4,0,23,3,0,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0
"HL",9,20,5,53,16,4,9,1,0,0,0,0,5,0,13,3,0,0,0,0,13,6,0
"HL",42,29,27,98,65,6,74,7,1,3,0,0,27,9,49,15,0,14,0,0,25,90,0
"HL",7,33,6,113,41,14,20,2,2,0,0,0,28,0,7,3,0,0,0,0,38,29,0
"HL",14,46,11,71,39,3,34,1,1,6,0,0,11,0,81,4,0,0,0,0,12,30,0
"HL",17,21,14,40,19,2,35,2,0,1,1,0,5,14,26,22,1,3,0,0,16,55,0
"HL",14,18,3,58,8,1,18,2,1,1,0,0,37,3,11,5,0,1,0,0,25,80,0
"HL",7,14,3,40,22,1,6,2,1,1,0,0,4,0,11,3,0,0,0,0,10,45,0
"HL",5,12,3,18,3,0,5,0,0,1,0,0,6,0,4,1,0,0,0,0,7,8,0
"HL",34,29,21,61,32,4,54,2,1,1,0,0,6,19,60,13,3,5,0,0,51,197,0
"HL",5,11,9,17,17,6,17,2,0,1,1,0,11,0,76,2,0,1,0,0,7,114,0
"HL",4,5,0,11,5,3,5,1,0,0,0,0,2,0,1,0,0,0,0,0,4,12,0
"HL",5,6,2,23,13,4,18,0,0,2,0,0,1,8,21,1,0,1,1,0,30,56,0
"HL",8,18,11,13,16,3,22,1,1,1,0,0,3,0,10,5,0,1,0,0,10,23,0
"HL",8,11,10,23,13,2,33,1,2,1,0,0,5,0,17,8,0,0,0,0,6,23,0
"HL",19,13,7,25,22,2,38,0,0,3,0,0,2,0,9,3,0,1,0,0,11,13,0
"HL",7,10,4,36,9,3,13,0,1,2,0,0,5,0,3,1,0,0,0,0,4,29,0
"HL",18,29,2,60,36,2,31,2,2,0,0,0,10,0,15,7,0,1,0,0,25,64,0
"HL",64,17,4,40,13,4,11,1,0,1,0,0,109,0,4,2,0,0,0,0,216,39,0
"HL",3,6,11,81,17,6,23,0,1,1,0,0,2,0,8,6,0,2,0,0,6,36,0
"HL",6,9,6,25,5,1,8,3,0,2,0,0,0,0,4,0,0,0,0,0,8,6,0
"HL",4,10,10,60,15,7,23,1,0,0,0,0,10,4,16,5,0,1,0,0,4,48,0
"HL",17,50,14,42,22,9,29,4,2,0,0,0,8,0,20,9,0,0,0,0,66,53,0
"HL",6,40,4,60,30,4,31,7,1,1,0,0,5,0,7,9,0,0,0,0,27,26,0
"HL",40,55,13,50,24,9,41,3,3,1,0,0,8,0,26,17,0,5,1,0,35,38,0
"HL",14,31,9,45,36,8,32,1,0,0,0,0,2,0,12,10,0,1,0,0,49,85,0
"HL",8,18,14,18,40,9,31,2,11,0,0,0,1,0,44,7,0,0,0,0,22,35,0
"HL",45,109,30,92,51,17,64,5,1,7,0,0,32,0,31,14,0,5,1,0,28,57,0
"HL",15,7,9,42,16,22,27,0,0,8,0,0,1,0,7,3,1,4,0,0,15,23,0
"HL",17,69,12,34,11,8,8,1,0,2,0,0,7,0,11,4,0,1,0,0,8,26,0
"HL",5,23,8,40,29,6,50,1,1,0,0,0,7,0,17,10,0,1,0,0,13,53,0
"HL",2,13,5,36,4,2,15,0,0,0,0,0,1,0,7,4,0,1,0,0,6,80,0
"HL",2,2,2,10,3,2,3,1,0,0,0,0,0,0,4,4,0,0,0,0,1,20,0
"HL",10,13,3,49,9,6,11,1,0,2,0,0,1,0,13,3,0,0,0,0,22,28,0
"HL",21,36,11,50,287,19,54,2,0,4,0,0,16,0,23,6,0,0,0,0,42,62,0
"HL",3,5,2,5,2,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,4,13,0
"HL",54,61,14,62,72,19,57,7,3,5,0,0,10,0,42,11,0,3,0,0,116,28,0
"HL",18,52,9,33,30,6,40,0,1,0,0,0,1,36,22,11,2,2,0,0,32,281,0
"HL",15,57,13,84,45,8,31,6,1,4,0,0,13,0,55,10,0,2,0,0,16,18,0
"HL",26,36,41,52,90,8,106,1,1,1,0,0,10,61,46,5,1,1,0,0,39,51,0
"HL",14,23,5,14,14,0,23,0,1,5,0,0,2,0,24,0,1,2,0,0,2,33,0
"HL",21,43,13,51,41,16,53,2,3,5,0,0,27,0,75,11,0,2,0,0,17,25,0
"HL",19,31,7,32,23,7,15,4,0,5,0,0,15,0,7,9,0,2,0,0,16,32,0
"HL",5,20,3,13,4,2,10,0,0,0,0,0,13,0,1,3,1,1,0,0,6,30,0
"HL",27,25,7,33,22,4,44,4,1,5,0,0,10,0,9,5,0,0,0,0,23,27,0
"HL",18,30,6,45,36,2,24,4,0,2,0,0,1,0,9,0,0,1,0,0,29,34,0
"HL",2,6,5,17,8,4,11,0,0,0,0,0,0,0,5,0,0,2,0,0,2,16,0
"HL",16,8,9,36,24,6,32,1,0,0,0,0,2,0,4,9,0,1,0,0,17,151,0
"HL",27,39,10,35,41,3,41,1,3,8,0,0,5,0,48,4,1,3,0,0,25,54,0
"HL",4,20,14,46,12,9,20,0,0,0,0,0,0,0,15,20,0,0,0,0,10,82,0
"HL",7,10,7,15,12,4,15,1,0,1,0,0,0,0,12,6,0,3,0,0,8,10,0
"HL",0,26,6,33,5,3,7,0,0,0,0,0,1,0,3,3,0,0,0,0,21,17,0
"HL",5,12,3,6,3,6,4,0,0,0,0,0,2,0,5,3,0,0,0,0,8,31,0
"HL",9,15,6,18,9,9,40,0,1,2,0,0,5,0,4,13,1,0,0,0,6,21,0
"HL",22,19,3,26,13,4,25,0,0,3,0,0,11,1,14,6,0,1,0,0,10,15,0
"HL",9,13,3,23,5,2,9,1,0,0,0,0,0,0,0,5,1,0,0,0,6,6,0
"HL",13,26,4,30,11,1,24,4,0,2,0,0,4,0,5,2,0,1,0,0,12,28,0
"HL",111,121,20,258,82,9,115,3,1,4,0,0,60,7,36,38,0,14,0,0,291,221,1
"HL",45,35,24,113,69,17,77,5,4,3,0,0,8,0,22,20,0,1,0,0,66,296,0
"HL",11,37,4,26,18,8,30,0,0,4,0,0,8,1,7,8,0,0,0,0,22,58,0
"HL",8,19,9,80,37,11,32,1,0,6,0,0,5,0,29,8,1,13,1,0,29,32,0
"HL",16,32,10,60,42,5,56,3,0,9,0,0,19,0,17,2,0,1,0,0,34,56,0
"HL",6,12,5,14,13,2,25,0,0,0,0,0,0,0,7,6,1,3,0,0,6,56,0
"HL",0,2,2,10,5,0,7,0,0,0,0,0,0,0,3,2,0,1,0,0,5,13,0
"HL",4,4,3,35,6,4,17,0,0,0,0,0,8,0,2,1,0,0,0,0,6,25,0
"HL",2,6,3,26,7,2,16,0,0,0,0,1,1,0,10,4,0,0,0,0,11,29,0
"HL",4,10,8,51,19,3,28,0,0,1,0,0,1,10,10,7,0,3,0,0,14,66,0
"HL",24,31,18,44,47,5,61,0,1,0,0,0,15,0,11,10,0,6,0,0,21,101,0
"HL",2,9,0,11,4,1,5,0,1,0,0,0,0,0,2,1,0,0,0,0,7,26,0
"HL",5,11,2,12,1,3,10,0,2,0,0,0,1,5,1,3,0,0,0,0,17,43,0
"HL",2,10,3,23,9,3,12,0,0,2,0,0,5,0,0,1,0,0,0,0,10,49,0
"HL",3,9,3,14,2,1,3,0,0,4,0,0,2,0,0,1,0,0,0,0,8,13,0
"HL",1,13,0,9,10,2,2,0,0,0,0,0,2,0,2,1,0,0,0,0,4,41,0
"HL",15,39,16,32,15,5,43,3,2,2,0,0,6,0,17,17,1,1,0,0,9,21,0
"HL",10,53,1,16,8,4,11,5,0,3,0,0,2,0,5,7,1,0,0,0,5,42,0
"HL",12,20,1,14,10,3,8,1,1,0,0,0,1,0,4,2,0,1,0,0,6,74,0
"HL",1,22,5,19,15,2,15,0,1,0,0,0,20,0,80,12,0,0,0,0,19,36,0
"HL",34,17,6,41,16,10,53,2,1,0,2,0,9,0,19,12,0,1,0,0,34,77,0
"HL",21,23,3,36,28,6,24,3,0,4,0,0,8,0,14,4,0,4,0,0,16,86,0
"HL",52,74,31,92,41,14,77,9,1,8,0,0,17,0,29,23,0,2,0,0,45,82,0
"HL",8,18,9,28,12,3,33,6,2,1,0,0,0,0,9,6,0,1,0,0,12,82,0
"HL",8,21,7,21,8,1,32,10,0,1,0,0,3,0,9,9,0,2,0,0,23,53,0
"HL",44,56,13,95,57,10,119,15,0,4,0,1,19,19,20,10,0,3,0,0,98,525,0
"HL",13,25,8,24,21,10,23,0,0,3,0,0,1,0,6,5,1,2,0,0,27,27,0
"HL",6,8,1,12,5,2,17,0,0,0,0,0,0,0,3,1,0,2,0,0,2,23,0
"HL",11,24,5,25,10,5,13,1,1,0,0,0,2,0,4,3,0,1,0,0,9,29,0
"HL",40,62,32,49,56,11,71,11,6,7,1,0,16,2,25,12,1,1,0,0,38,98,0
"HL",14,19,3,34,21,8,23,0,0,1,0,0,10,0,13,8,0,0,0,0,9,117,0
"HL",9,16,6,32,12,4,21,3,0,2,0,0,5,0,7,4,0,0,0,0,17,12,0
"HL",17,23,4,49,5,7,16,1,0,1,0,0,13,0,12,3,0,0,0,0,16,33,0
"HL",20,12,5,41,29,12,20,1,1,0,0,0,6,0,8,5,0,4,0,0,20,29,0
"HL",12,24,6,19,15,5,35,2,0,0,0,0,3,0,11,10,0,5,0,0,7,28,0
"HL",23,24,0,52,17,10,21,6,5,0,0,0,3,0,10,5,0,0,0,0,80,215,0
"HL",9,8,0,32,11,2,19,1,1,1,0,0,1,0,14,5,0,1,0,0,14,21,0
"HL",7,6,3,35,3,0,5,2,1,3,0,0,2,0,31,3,0,0,0,0,13,40,0
"HL",34,39,12,49,21,5,33,1,1,1,0,0,32,0,65,9,0,0,0,0,15,12,0
"HL",12,22,10,21,8,3,10,4,0,0,0,0,2,0,2,2,0,0,0,0,3,44,0
"HL",47,44,55,74,41,20,86,14,1,1,1,0,11,0,26,18,1,8,0,0,85,93,0
"HL",2,13,1,7,2,0,6,0,0,0,0,0,2,0,1,4,0,0,1,0,7,16,0
"HL",5,2,1,14,2,1,7,0,2,0,0,0,0,0,6,0,0,0,0,0,4,68,0
"HL",13,18,17,61,27,5,45,3,0,1,0,0,10,0,11,4,0,5,0,0,18,90,0
"HL",10,30,25,22,19,3,14,1,3,2,0,0,0,0,5,12,0,1,0,0,5,41,0
"HL",3,20,18,28,24,6,17,1,1,3,0,0,5,1,3,3,0,2,0,0,7,68,0
"HL",8,12,5,31,19,2,36,0,0,0,0,0,2,0,12,4,0,1,0,0,19,86,0
"HL",18,22,7,27,13,2,18,1,2,2,0,0,0,0,7,2,0,0,0,0,4,27,0
"HL",11,1,7,7,5,3,13,3,1,2,0,0,1,0,4,4,0,0,0,0,5,11,0
"HL",6,13,2,21,13,0,14,0,0,0,0,0,4,0,7,4,0,2,0,0,3,33,0
"HL",9,24,8,28,21,12,24,1,0,0,0,0,1,0,0,3,0,4,0,0,14,34,0
"HL",3,4,0,29,10,3,15,0,1,0,0,0,0,0,11,3,0,0,0,0,7,90,0
"HL",1,4,2,19,13,1,26,0,0,1,0,0,6,0,16,1,0,0,0,0,6,1,0
"HL",5,19,12,16,23,10,31,1,2,0,0,0,3,0,5,15,0,3,0,0,13,47,0
"HL",9,6,2,13,7,1,17,1,0,0,0,0,3,1,5,8,0,4,0,0,11,45,0
"HL",27,84,22,88,38,41,53,2,1,1,0,0,7,0,49,40,0,10,0,0,14,51,0
"HL",38,29,12,34,30,13,48,9,2,4,0,0,20,1,25,8,0,4,0,0,57,151,0
"HL",10,35,10,60,35,5,65,2,1,1,0,0,4,0,18,12,0,9,0,0,25,64,0
"HL",6,27,4,39,22,2,32,3,0,0,0,0,6,0,4,5,0,0,0,0,12,49,0
"HL",34,20,15,53,23,15,42,7,1,11,0,0,16,0,24,10,0,1,0,0,138,75,0
"HL",28,98,10,69,61,14,55,5,3,7,0,0,35,0,55,9,0,1,0,0,13,31,0
"HL",26,35,14,56,22,20,15,3,1,5,0,0,12,0,9,21,0,1,0,0,23,23,0
"HL",5,9,4,9,7,1,0,0,0,0,0,0,0,0,6,7,0,2,0,0,7,15,0
"HL",1,15,2,10,5,1,8,0,0,0,0,0,1,1,4,2,0,3,0,0,12,46,0
"HL",8,15,3,30,5,4,12,1,0,2,0,0,7,0,5,4,0,1,0,0,11,79,0
"HL",2,4,0,10,5,0,12,0,0,0,0,0,2,0,1,2,0,0,0,0,0,16,0
"HL",14,15,22,11,25,0,22,2,1,0,1,0,0,0,5,12,0,2,0,0,14,41,0
"HL",4,17,3,25,9,0,8,1,0,0,0,0,2,0,1,1,0,0,0,0,20,84,0
"HL",5,20,4,19,17,4,21,0,0,0,0,0,2,0,5,3,0,0,0,0,4,32,0
"HL",3,11,3,10,2,0,12,2,0,0,0,0,1,0,0,2,0,2,0,0,6,42,0
"HL",10,16,3,36,15,4,21,1,0,1,0,0,2,5,11,7,0,0,0,0,6,30,0
"HL",8,6,2,15,13,0,5,1,0,0,0,0,1,3,3,3,0,0,0,0,5,58,0
"HL",1,4,1,20,6,2,7,0,0,0,0,0,0,0,2,2,0,1,0,0,4,51,0
"HL",2,4,0,2,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,54,0
"HL",5,8,3,9,6,0,27,0,0,0,0,0,3,0,4,0,0,0,0,0,4,13,0
"HL",10,21,3,30,15,4,21,1,0,2,0,0,1,0,1,2,0,0,0,0,4,56,0
"HL",0,4,6,13,3,3,18,0,0,0,0,0,3,0,6,0,0,1,0,0,4,21,0
"HL",9,9,6,22,6,9,15,0,1,1,0,0,3,0,9,8,0,0,0,0,10,34,0
"HL",10,13,14,43,36,7,3,2,0,3,0,0,4,0,42,13,0,0,0,0,40,40,0
"pr",1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pr",4491,1922,2359,115,383,400,558,2261,1309,377,6,0,87,2218,238,544,2,32,0,2,8,633,315
"pr",2612,1431,561,116,187,235,166,952,316,293,1601,940,63,190,33,766,9,11,0,6,106,884,18
"pr",1257,376,16,6,7,14,47,733,274,18,0,0,11,0,1,386,0,2,0,0,1,30,0
"pr",1059,404,265,2,0,92,68,639,633,11,0,0,4,0,0,148,0,0,0,0,0,14,0
"pr",1318,164,4,2,0,24,0,758,66,5,0,0,2,0,9,162,0,0,0,0,0,12,0
"pr",1934,1040,651,3,33,218,13,1121,557,95,11,0,31,0,2,603,0,6,0,1,0,250,0
"pr",4993,1375,1455,138,748,735,661,1747,1100,720,2293,986,139,3052,251,442,0,56,0,0,6,1086,61
"pr",1964,1630,1083,56,74,433,166,200,1843,784,317,167,37,0,26,480,0,10,0,0,2,471,19
"pr",3470,1536,3340,143,893,725,692,1673,2396,680,900,554,228,5294,74,881,0,50,0,0,9,2113,49
"pr",2761,1910,678,21,69,379,23,543,1145,293,1,0,93,1828,109,670,0,25,0,1,2,478,10
"pr",141,153,86,222,139,29,181,29,3,7,2,0,53,0,95,43,0,46,0,0,157,262,0
"pr",1262,883,214,6,4,117,1,281,1023,90,0,0,5,0,6,297,0,4,0,0,0,112,0
"pr",0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pr",8,15,2,21,6,3,15,1,0,0,0,0,0,0,9,6,0,0,0,0,47,36,0
"pr",3678,1452,1354,73,323,219,86,1259,787,180,0,0,104,0,61,305,1,16,0,0,12,678,0
"pr",0,0,0,0,3,0,176,5,0,0,0,0,1,0,0,1,0,1,0,0,0,143,0
"pr",0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pr",1240,2852,63,63,35,45,19,889,1642,554,1085,688,16,0,52,812,3,4,0,0,0,189,1
"pr",15,1412,0,35,4,1,1,504,1735,142,0,0,3,0,11,977,2,0,0,0,0,12,0
"pr",6613,1247,3374,65,652,886,634,966,1344,416,1,0,109,0,163,699,0,28,1,0,4,449,712
"pr",1521,722,1003,109,74,128,87,567,1761,191,77,0,119,92,36,389,2,18,0,0,17,286,129
"pr",4572,3134,531,189,100,629,362,761,1600,898,1534,1079,144,4373,58,1154,2,27,0,1,15,570,25
"pr",478,14,0,0,1,0,0,5,1227,0,0,0,0,0,0,1,0,0,0,0,0,4,0
"pr",2288,883,455,12,24,65,68,281,487,157,36,0,17,0,9,405,1,8,0,0,0,82,0
"pr",2123,545,298,70,44,142,104,500,827,132,0,0,34,2,11,606,0,6,0,0,13,109,26
"pr",51,4,359,3,2,183,0,144,216,617,765,0,0,0,0,507,0,0,0,0,0,129,0
"pr",8893,5435,949,355,1303,1367,957,604,1575,1851,2483,2058,285,5584,58,1365,1,55,4,1,0,863,2165
"pr",3858,1908,930,75,264,299,450,104,13,214,0,0,109,3800,20,339,2,31,1,0,1,505,1201
"pr",3462,83,502,1,56,80,16,536,341,1148,2980,2181,26,0,25,720,0,1,0,0,1,141,0
"pr",1935,151,129,18,1,5,13,264,690,48,0,0,8,0,17,134,0,2,0,0,0,54,0
"pr",2842,617,172,3,10,15,2,528,2242,17,0,0,26,0,20,709,0,1,1,0,0,14,0
"pr",4021,2675,1869,104,50,94,37,417,458,558,82,0,68,0,72,803,0,21,3,1,10,470,0
"pr",636,275,207,299,1627,98,498,43,13,25,0,0,179,7611,193,58,0,45,5,0,118,903,226
"pr",0,0,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pr",5663,1215,2063,36,150,815,253,1680,1081,511,27,0,86,0,129,779,0,16,0,0,0,420,21
"pr",2466,753,766,5,44,263,5,708,867,271,9,0,36,0,49,393,0,12,0,0,0,193,22
"pr",2015,902,605,40,45,187,74,526,439,139,2,0,38,756,14,257,1,4,0,0,3,155,11
"pr",2061,3193,3414,116,378,1712,230,36,1111,2023,2367,1800,97,0,87,440,0,28,0,1,0,810,383
"pr",4146,2089,322,16,96,228,366,1438,1070,196,5,0,76,1788,34,1088,0,15,0,0,1,403,17
"pr",376,119,15,6,1,7,0,158,4,27,0,0,6,0,0,201,2,1,0,0,0,16,0
"pr",991,50,7,0,1,3,0,975,0,36,1,0,4,0,1,30,0,0,0,0,0,24,0
"pr",1364,984,232,4,47,87,24,356,380,186,51,0,16,0,16,390,1,13,0,0,0,108,1
"pr",850,3475,9,14,732,522,87,667,797,110,0,0,34,0,128,489,0,16,0,0,0,280,36
"pr",2827,1553,759,9,6,98,211,867,957,849,0,0,27,1,41,930,1,9,2,0,1,378,0
"pr",3901,160,3751,0,34,76,1,784,722,609,1026,731,75,1,13,297,1,52,0,0,1,1137,0
"pr",1436,416,1754,152,1447,125,657,656,1838,10,0,0,185,2578,108,83,0,31,1,0,19,883,24
"pr",3156,2513,1487,45,77,411,151,462,15,746,1449,903,154,912,125,538,0,70,0,1,18,602,58
"pr",3843,2146,2407,36,237,548,89,625,1915,358,697,453,79,2105,72,820,2,14,0,1,3,444,40
"pr",1889,924,984,34,270,477,47,925,1165,237,1,0,23,0,33,963,0,8,0,0,1,421,127
"pr",1258,578,832,4,36,219,32,378,553,71,0,0,30,10,23,400,1,5,0,0,0,156,3
"pr",1305,1681,64,23,8,156,3,1682,94,381,2333,1528,9,0,1,305,0,7,0,0,0,79,0
"pr",0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pr",2763,1551,652,108,204,507,179,302,115,47,1,0,83,1,111,447,0,54,2,2,7,246,134
"pr",0,0,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pr",1409,665,111,31,15,27,48,633,176,94,12,0,160,6127,19,367,0,5,0,0,0,233,0
"pr",3225,1351,750,48,22,115,111,1913,482,228,81,0,81,5,99,750,1,15,0,0,9,657,0
"pr",5023,2603,1110,318,1180,645,420,1546,47,716,698,558,138,4523,99,2340,1,66,1,0,18,716,1837
"pr",827,466,179,16,27,137,8,577,24,53,9,0,23,1,30,207,0,10,0,0,1,256,9
